"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer","Part Number","JLCPCB"
"C1,C4","2","10uF 25V","","","","ColorTemp:C_0805_2012Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8554627388281098240","Samsung Electro-Mechanics","CL21A106KAYNNNE","C15850"
"C2,C3","2","100nF 50V","","","","ColorTemp:C_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8554627388281098240","Samsung Electro-Mechanics","CL05B104KB54PNC","C307331"
"D1","1","WS2850B","","","","ColorTemp:WS2850B","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590906233161396224","Worldsemi","WS2850B","C4154880"
"FID1,FID2,FID3","3","Fiducial","","Excluded from BOM","","ColorTemp:Fiducial_0.5mm_Mask1mm","~","","",""
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","ColorTemp:MountingHole_3.2mm_M3","~","","",""
"J1","1","POWER","","","","ColorTemp:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8589041795833061376","DEALON"," USB-TYPE-C-009","C2927029"
"J2","1","EXPANSION","","","","ColorTemp:PinHeader_2x05_P2.54mm_Vertical","~","","",""
"R1,R2,R6,R7,R8,R9","6","5.1K 1%","","","","ColorTemp:R_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706098733010944","UNI-ROYAL","0402WGF5101TCE","C25905"
"R3,R4,R5","3","220R 1%","","","","ColorTemp:R_0402_1005Metric","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579706098733010944","UNI-ROYAL","0402WGF2200TCE","C25091"
"SW1","1","USER","","","","ColorTemp:EVQP7A01P","~","Panasonic","EVQP7A01P","C79167"
"SW2","1","~{RESET}","","","","ColorTemp:EVQP7A01P","~","Panasonic","EVQP7A01P","C79167"
"U1","1","CH32V003F4U6","","","","ColorTemp:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm","https://www.wch-ic.com/products/CH32V003.html","WCH","CH32V003F4U6","C5299908"
"U2","1","MCP9700A","","","","ColorTemp:SOT-23","http://ww1.microchip.com/downloads/en/devicedoc/20001942g.pdf","Microchip","MCP9700AT-E/TT","C127949"
